IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,20503,10.215.173.2,53,10185,Chrome,com.android.chrome,DNS,Closed,c2y23vzfb5cg.statuspage.io,72,177,1,1,2026-06-25T00:47:27.423+01:00,2026-06-25T00:47:27.428+01:00
6,10.215.173.1,50850,54.230.114.54,443,10185,Chrome,com.android.chrome,HTTPS,Closed,c2y23vzfb5cg.statuspage.io,3097,11916,15,13,2026-06-25T00:47:27.436+01:00,2026-06-25T00:48:17.717+01:00
17,10.215.173.1,38707,216.239.38.223,443,10185,Chrome,com.android.chrome,QUIC,Closed,content-autofill.googleapis.com,4580,9449,10,12,2026-06-25T00:47:27.488+01:00,2026-06-25T00:47:27.556+01:00
6,10.215.173.1,50342,192.149.252.48,443,10185,Chrome,com.android.chrome,HTTPS,Closed,accountws.arin.net,3715,5810,13,10,2026-06-25T00:47:27.523+01:00,2026-06-25T00:48:17.720+01:00
6,10.215.173.1,50354,192.149.252.48,443,10185,Chrome,com.android.chrome,HTTPS,Closed,accountws.arin.net,2984,4618,12,9,2026-06-25T00:47:27.527+01:00,2026-06-25T00:48:17.716+01:00
6,10.215.173.1,50360,192.149.252.48,443,10185,Chrome,com.android.chrome,HTTPS,Closed,accountws.arin.net,3000,4866,12,9,2026-06-25T00:47:27.531+01:00,2026-06-25T00:48:17.717+01:00
17,10.215.173.1,45066,172.253.116.97,443,10185,Chrome,com.android.chrome,QUIC,Closed,www.googletagmanager.com,4538,9323,10,12,2026-06-25T00:47:27.569+01:00,2026-06-25T00:47:27.644+01:00
17,10.215.173.1,53021,10.215.173.2,53,10185,Chrome,com.android.chrome,DNS,Closed,rdap-bootstrap.arin.net,69,114,1,1,2026-06-25T00:47:27.596+01:00,2026-06-25T00:47:27.767+01:00
17,10.215.173.1,16610,10.215.173.2,53,10185,Chrome,com.android.chrome,DNS,Closed,rdap-bootstrap.arin.net,69,117,1,1,2026-06-25T00:47:27.599+01:00,2026-06-25T00:47:27.705+01:00
6,10.215.173.1,59980,199.71.0.160,443,10185,Chrome,com.android.chrome,HTTPS,Closed,rdap-bootstrap.arin.net,3008,4218,12,9,2026-06-25T00:47:27.732+01:00,2026-06-25T00:48:12.488+01:00
17,10.215.173.1,30219,10.215.173.2,53,10185,Chrome,com.android.chrome,DNS,Closed,region1.google-analytics.com,74,131,1,1,2026-06-25T00:47:27.817+01:00,2026-06-25T00:47:27.837+01:00
17,10.215.173.1,1740,10.215.173.2,53,10185,Chrome,com.android.chrome,DNS,Closed,region1.google-analytics.com,74,106,1,1,2026-06-25T00:47:27.823+01:00,2026-06-25T00:47:27.846+01:00
6,10.215.173.1,52012,216.239.32.36,443,10185,Chrome,com.android.chrome,HTTPS,Closed,region1.google-analytics.com,4631,8527,20,16,2026-06-25T00:47:27.866+01:00,2026-06-25T00:48:17.715+01:00
6,10.215.173.1,52020,216.239.32.36,443,10185,Chrome,com.android.chrome,HTTPS,Closed,region1.google-analytics.com,2368,7333,11,9,2026-06-25T00:47:27.878+01:00,2026-06-25T00:47:27.959+01:00
17,10.215.173.1,61166,10.215.173.2,53,10185,Chrome,com.android.chrome,DNS,Closed,www.arin.net,58,103,1,1,2026-06-25T00:47:27.928+01:00,2026-06-25T00:47:28.037+01:00
17,10.215.173.1,8575,10.215.173.2,53,10185,Chrome,com.android.chrome,DNS,Closed,www.arin.net,58,90,1,1,2026-06-25T00:47:27.931+01:00,2026-06-25T00:47:28.093+01:00
6,10.215.173.1,51192,192.149.252.47,443,10185,Chrome,com.android.chrome,HTTPS,Closed,www.arin.net,3015,7924,12,9,2026-06-25T00:47:28.099+01:00,2026-06-25T00:48:17.719+01:00
17,10.215.173.1,43665,10.215.173.2,53,10185,Chrome,com.android.chrome,DNS,Closed,rdap.arin.net,59,104,1,1,2026-06-25T00:47:28.883+01:00,2026-06-25T00:47:29.043+01:00
17,10.215.173.1,57195,10.215.173.2,53,10185,Chrome,com.android.chrome,DNS,Closed,rdap.arin.net,59,107,1,1,2026-06-25T00:47:28.887+01:00,2026-06-25T00:47:29.047+01:00
6,10.215.173.1,59928,199.5.26.160,443,10185,Chrome,com.android.chrome,HTTPS,Closed,rdap.arin.net,3024,18391,15,11,2026-06-25T00:47:29.051+01:00,2026-06-25T00:48:12.488+01:00
17,10.215.173.1,51332,216.239.32.36,443,10185,Chrome,com.android.chrome,QUIC,Closed,region1.google-analytics.com,4222,9136,7,11,2026-06-25T00:47:32.882+01:00,2026-06-25T00:47:32.963+01:00
17,10.215.173.1,41569,10.215.173.2,53,10185,Chrome,com.android.chrome,DNS,Closed,optimizationguide-pa.googleapis.com,81,138,1,1,2026-06-25T00:47:35.319+01:00,2026-06-25T00:47:35.333+01:00
17,10.215.173.1,40057,10.215.173.2,53,10185,Chrome,com.android.chrome,DNS,Closed,optimizationguide-pa.googleapis.com,81,145,1,1,2026-06-25T00:47:35.323+01:00,2026-06-25T00:47:35.338+01:00
6,10.215.173.1,51926,216.239.34.223,443,10185,Chrome,com.android.chrome,HTTPS,Closed,optimizationguide-pa.googleapis.com,5689,128260,35,51,2026-06-25T00:47:35.346+01:00,2026-06-25T00:48:17.720+01:00
6,10.215.173.1,32990,209.85.203.188,5228,10153,Google Play services,com.google.android.gms,TLS,Closed,mtalk.google.com,1383,1188,8,8,2026-06-25T00:48:00.350+01:00,2026-06-25T00:49:00.223+01:00
17,10.215.173.1,46217,10.215.173.2,53,10185,Chrome,com.android.chrome,DNS,Closed,update.googleapis.com,67,124,1,1,2026-06-25T00:48:12.025+01:00,2026-06-25T00:48:12.046+01:00
17,10.215.173.1,58230,10.215.173.2,53,10185,Chrome,com.android.chrome,DNS,Closed,update.googleapis.com,67,163,1,1,2026-06-25T00:48:12.035+01:00,2026-06-25T00:48:12.060+01:00
6,10.215.173.1,43696,209.85.202.100,443,10185,Chrome,com.android.chrome,HTTPS,Closed,update.googleapis.com,4096,8532,15,13,2026-06-25T00:48:12.064+01:00,2026-06-25T00:48:17.720+01:00
6,10.215.173.1,36090,20.33.33.16,5222,10213,Xiaomi service framework,com.xiaomi.xmsf,TCP,Closed,,1129,420,9,6,2026-06-25T00:48:16.285+01:00,2026-06-25T00:49:20.438+01:00
17,10.215.173.1,28276,10.215.173.2,53,10186,Drive,com.google.android.apps.docs,DNS,Closed,workspacevideo-pa.googleapis.com,78,142,1,1,2026-06-25T00:48:54.191+01:00,2026-06-25T00:48:54.218+01:00
6,10.215.173.1,44724,216.239.34.223,443,10186,Drive,com.google.android.apps.docs,HTTPS,Closed,play.googleapis.com,1199,5595,11,10,2026-06-25T00:48:54.195+01:00,2026-06-25T00:48:54.365+01:00
6,10.215.173.1,44740,216.239.34.223,443,10186,Drive,com.google.android.apps.docs,HTTPS,Closed,play.googleapis.com,8512,7034,18,18,2026-06-25T00:48:54.200+01:00,2026-06-25T00:49:05.108+01:00
6,10.215.173.1,44746,216.239.34.223,443,10186,Drive,com.google.android.apps.docs,HTTPS,Closed,play.googleapis.com,1239,5604,12,11,2026-06-25T00:48:54.205+01:00,2026-06-25T00:48:54.348+01:00
6,10.215.173.1,35668,216.239.36.223,443,10186,Drive,com.google.android.apps.docs,HTTPS,Closed,workspacevideo-pa.googleapis.com,1701,5909,14,14,2026-06-25T00:48:54.228+01:00,2026-06-25T00:49:05.108+01:00
6,10.215.173.1,38414,34.149.66.154,443,10313,Claude,com.anthropic.claude,HTTPS,Closed,browser-intake-us5-datadoghq.com,37181,7774,32,37,2026-06-25T00:49:04.733+01:00,2026-06-25T00:50:52.791+01:00
6,10.215.173.1,34390,160.79.104.10,443,10313,Claude,com.anthropic.claude,HTTPS,Closed,claude.ai,203452,1205969,362,378,2026-06-25T00:49:04.776+01:00,2026-06-25T00:50:52.793+01:00
6,10.215.173.1,34396,160.79.104.10,443,10313,Claude,com.anthropic.claude,HTTPS,Closed,claude.ai,1143,1117,10,9,2026-06-25T00:49:04.787+01:00,2026-06-25T00:49:05.035+01:00
